 01 02 03 04 05 06 07 08 09 10 11
 15 15 02 02 02 02 02 02 02 02 02 
 15 15 02 02 15 02 15 02 02 15 15 
 15 15 02 02 02 02 02 02 02 15 15 
 3D 3D 3C 02 02 02 02 02 28 3D 3D 
 3D 3D 02 03 17 02 05 19 02 29 3D 
 3D 3D 02 02 02 02 03 17 02 29 3D 
 3D 3D 02 05 19 02 02 02 02 29 3D 
 3D 3D 3D 3D 3C 02 28 3D 3D 3D 3D 
 3D 3D 3D 3C 02 02 02 28 3D 3D 3D 
 3D 3E 02 02 02 02 02 02 02 2A 3D 
 3D 3C 02 02 02 02 02 02 02 29 3D 
 3D 3E 02 02 02 02 02 02 02 29 3D 
 3D 3D 3D 3D 3D 02 02 02 02 14 14 
 3D 3D 3D 3D 3D 02 02 02 02 29 3D 
 3D 3D 3D 3D 3E 02 02 02 02 29 3D 
 3D 3D 3D 3D 3C 02 02 02 02 29 3D 
 3D 3D 3C 02 02 02 02 02 02 29 3D 
 3D 12 02 02 02 02 02 02 02 29 3D 
 3D 3D 3D 3D 3E 02 2A 3D 3D 3D 3D 
 15 15 15 15 02 02 02 15 15 15 15 
 15 15 15 02 02 02 02 02 15 15 15 
 02 02 02 02 02 02 02 02 02 15 15 
 15 15 15 15 15 15 15 15 15 15 15 
 14 14 14 14 14 02 02 02 02 29 3D 
 3D 3D 3D 3D 3D 02 02 02 02 02 02 
 3D 3D 02 02 02 02 02 02 02 14 14 
 02 02 02 02 02 02 02 02 02 29 3D 
 02 02 02 21 02 21 02 21 02 29 3D 
 02 02 02 02 02 02 02 02 2A 3D 3D 
 3D 3C 02 02 02 02 02 02 02 28 3D 
 02 02 02 21 02 21 02 21 02 02 02 
 02 02 02 02 02 02 02 02 02 02 02 
 3D 3D 02 02 02 02 02 02 02 02 02 
 3D 3D 02 21 02 21 02 21 02 02 02 
 3D 3D 3E 02 02 02 02 02 02 02 02 
 3D 3D 02 02 02 02 05 19 02 29 3D 
 3D 3D 02 05 19 02 03 17 02 29 3D 
 3D 3D 02 03 17 02 02 02 02 29 3D 
 3D 3D 02 02 02 01 02 02 02 29 3D 
 14 14 02 02 02 02 02 02 02 29 3D 
 3D 3D 02 02 01 02 01 02 02 29 3D 
 3D 3D 02 01 02 01 02 01 02 29 3D 
 3D 3D 02 02 02 02 02 02 02 29 3D 
 3D 3D 3E 02 02 02 02 02 2A 3D 3D 
 3D 3D 3D 3E 02 02 02 2A 3D 3D 3D 
 3D 3D 3D 3D 3D 02 29 3D 3D 3D 3D 
 3D 3D 3D 3D 3D 02 14 14 14 14 14 
 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 3D 
